idempotency_key,result,created_at
idemp_PAY000001,"{""status"": ""failed"", ""object"": ""payment"", ""amount"": 10381.56, ""method"": ""upi""}",2025-11-09T07:45:38.830321
idemp_PAY000002,"{""status"": ""failed"", ""object"": ""payment"", ""amount"": 1254.66, ""method"": ""card""}",2025-11-09T09:23:38.831009
idemp_PAY000003,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 12981.01, ""method"": ""card""}",2025-11-20T05:26:38.831563
idemp_PAY000004,"{""status"": ""pending"", ""object"": ""payment"", ""amount"": 3891.89, ""method"": ""card""}",2025-11-06T17:44:38.831996
idemp_PAY000005,"{""status"": ""failed"", ""object"": ""payment"", ""amount"": 3918.43, ""method"": ""card""}",2025-11-17T14:22:38.832395
idemp_PAY000006,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 9027.98, ""method"": ""upi""}",2025-11-23T21:00:38.832871
idemp_PAY000007,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 20177.19, ""method"": ""netbanking""}",2025-11-14T07:15:38.833392
idemp_PAY000008,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 11121.26, ""method"": ""card""}",2025-11-21T13:34:38.833867
idemp_PAY000009,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 3263.24, ""method"": ""card""}",2025-11-26T14:01:38.834354
idemp_PAY000010,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 3657.69, ""method"": ""upi""}",2025-11-11T06:20:38.834822
idemp_PAY000011,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 3657.68, ""method"": ""card""}",2025-11-11T06:48:38.834822
idemp_PAY000012,"{""status"": ""failed"", ""object"": ""payment"", ""amount"": 637.49, ""method"": ""upi""}",2025-11-07T10:35:38.835249
idemp_PAY000013,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 637.48, ""method"": ""upi""}",2025-11-07T10:18:38.835249
idemp_PAY000014,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 10216.67, ""method"": ""upi""}",2025-11-20T14:32:38.835782
idemp_PAY000015,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 16516.45, ""method"": ""upi""}",2025-12-03T19:18:38.836268
idemp_PAY000016,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 18099.01, ""method"": ""cod""}",2025-11-21T15:50:38.836761
idemp_PAY000017,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 6750.24, ""method"": ""card""}",2025-11-21T13:34:38.837255
idemp_PAY000018,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 5388.54, ""method"": ""card""}",2025-12-05T13:27:38.837679
idemp_PAY000019,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 2428.27, ""method"": ""wallet""}",2025-11-22T10:41:38.838089
idemp_PAY000020,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 4468.46, ""method"": ""upi""}",2025-11-25T01:38:38.838550
idemp_PAY000021,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 5590.86, ""method"": ""card""}",2025-11-18T22:50:38.839027
idemp_PAY000022,"{""status"": ""success"", ""object"": ""payment"", ""amount"": 16488.99, ""method"": ""netbanking""}",2025-11-29T17:12:38.839607
