sku,ProductDisplayName,brand,category,subcategory,season,usage,price,msrp,currency,attributes,image_url,ratings,review count
SKU000001,Men Black Possession Flip Flops,Reebok,Footwear,Flip Flops,Summer,Casual,4900.87,7248.05,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Black"", ""material"": ""Mesh"", ""gender"": ""Men""}",reebok_images/item_0.jpg,4.7,234
SKU000002,Men Pack of 2 Pirates of the Caribbean Deos,Reebok,Personal Care,Fragrance,Spring,Casual,1711.05,2165.64,INR,"{""size"": [""one Size""], ""color"": ""Black"", ""material"": null, ""gender"": ""Men""}",reebok_images/item_1.jpg,4.7,1059
SKU000003,Men Navy Twist Sandals,Reebok,Footwear,Sandal,Summer,Casual,4619.44,6857.93,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Navy Blue"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_2.jpg,4.2,1573
SKU000004,Women Charcoal Grey Fuel Techno Sports Shoes,Reebok,Footwear,Shoes,Summer,Sports,2693.25,3402.26,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Charcoal"", ""material"": ""Cotton"", ""gender"": ""Women""}",reebok_images/item_3.jpg,4.7,161
SKU000005,Reebounce Women Perfumes,Reebok,Personal Care,Fragrance,Spring,Casual,2219.44,2929.65,INR,"{""size"": [""one Size""], ""color"": ""White"", ""material"": null, ""gender"": ""Women""}",reebok_images/item_4.jpg,4.9,929
SKU000006,Women Reeflex Run Blue Sports Shoes,Reebok,Footwear,Shoes,Fall,Sports,3607.56,5179.97,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""Blue"", ""material"": ""Polyester"", ""gender"": ""Women""}",reebok_images/item_5.jpg,4,1000
SKU000007,Men trackpant- male Track Pants,Reebok,Apparel,Bottomwear,Fall,Sports,2949.2,4116.63,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Blue"", ""material"": ""Leather"", ""gender"": ""Men""}",reebok_images/item_6.jpg,4.5,376
SKU000008,Women Reestyle Deo,Reebok,Personal Care,Fragrance,Spring,Casual,2450.86,3119.43,INR,"{""size"": [""one Size""], ""color"": ""Purple"", ""material"": null, ""gender"": ""Women""}",reebok_images/item_7.jpg,4,1049
SKU000009,Men Sprintfit Lite Black Sports Shoe,Reebok,Footwear,Shoes,Fall,Sports,2554.4,3728.18,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Black"", ""material"": ""Polyester"", ""gender"": ""Men""}",reebok_images/item_8.jpg,4.7,1802
SKU000010,Women Black Casual Shoes,Reebok,Footwear,Shoes,Summer,Casual,840.8,1056.14,INR,"{""size"": [""XS"", ""S"", ""M"", ""L"", ""XL"", ""XXL""], ""color"": ""Black"", ""material"": ""Nylon"", ""gender"": ""Women""}",reebok_images/item_9.jpg,4,967
SKU000011,Kids Kkr Boy's Premium Blue Jerseys,Reebok,Apparel,Topwear,Summer,Sports,1616.24,1986.08,INR,"{""size"": [""UK 6"", ""UK 7"", ""UK 8"", ""UK 9"", ""UK 10"", ""UK 11"", ""UK 12""], ""color"": ""Blue"", ""material"": ""Mesh"", ""gender"": ""Boys""}",reebok_images/item_10.jpg,4.7,195
SKU000012,Men's Easytone Inspire White Shoe,Reebok,Footwear,Shoes,Summer,Sports,1967.08,2422.57,INR,"{""size"": [""US 6"", ""US 7"", ""US 8"", ""US 9"", ""US 10"", ""US 11"", ""US 12""], ""color"": ""White"", ""material"": ""Cotton"", ""gender"": ""Men""}",reebok_images/item_11.jpg,4.8,241
