order_id,customer_id,items,total_amount,status,created_at
ORD000001,207,"[{""sku"": ""SKU000864"", ""qty"": 3, ""unit_price"": 2280.0, ""line_total"": 6840.0}, {""sku"": ""SKU000718"", ""qty"": 1, ""unit_price"": 1460.0, ""line_total"": 1460.0}, {""sku"": ""SKU000300"", ""qty"": 2, ""unit_price"": 531.44, ""line_total"": 1062.88}]",9362.88,cancelled,2025-11-09T07:32:38.830321
ORD000002,164,"[{""sku"": ""SKU000145"", ""qty"": 1, ""unit_price"": 1154.88, ""line_total"": 1154.88}]",1154.88,delivered,2025-11-09T09:02:38.831009
ORD000003,229,"[{""sku"": ""SKU000189"", ""qty"": 2, ""unit_price"": 4863.63, ""line_total"": 9727.26}, {""sku"": ""SKU000477"", ""qty"": 1, ""unit_price"": 1980.0, ""line_total"": 1980.0}]",11707.26,delivered,2025-11-20T04:27:38.831563
ORD000004,402,"[{""sku"": ""SKU000862"", ""qty"": 3, ""unit_price"": 1170.0, ""line_total"": 3510.0}]",3510.0,delivered,2025-11-06T16:46:38.831996
ORD000005,344,"[{""sku"": ""SKU000893"", ""qty"": 3, ""unit_price"": 1190.0, ""line_total"": 3570.0}]",3570.0,delivered,2025-11-17T13:34:38.832395
ORD000006,269,"[{""sku"": ""SKU000538"", ""qty"": 3, ""unit_price"": 1750.0, ""line_total"": 5250.0}, {""sku"": ""SKU000793"", ""qty"": 2, ""unit_price"": 1530.0, ""line_total"": 3060.0}]",8310.0,delivered,2025-11-23T20:52:38.832871
ORD000007,186,"[{""sku"": ""SKU000683"", ""qty"": 3, ""unit_price"": 1580.0, ""line_total"": 4740.0}, {""sku"": ""SKU000239"", ""qty"": 3, ""unit_price"": 4547.67, ""line_total"": 13643.01}]",18383.01,placed,2025-11-14T07:12:38.833392
ORD000008,246,"[{""sku"": ""SKU000543"", ""qty"": 2, ""unit_price"": 2360.0, ""line_total"": 4720.0}, {""sku"": ""SKU000373"", ""qty"": 3, ""unit_price"": 1770.0, ""line_total"": 5310.0}]",10030.0,delivered,2025-11-21T13:28:38.833867
ORD000009,330,"[{""sku"": ""SKU000206"", ""qty"": 1, ""unit_price"": 703.04, ""line_total"": 703.04}, {""sku"": ""SKU000378"", ""qty"": 1, ""unit_price"": 2240.0, ""line_total"": 2240.0}]",2943.04,delivered,2025-11-26T13:31:38.834354
ORD000010,224,"[{""sku"": ""SKU000311"", ""qty"": 1, ""unit_price"": 4523.59, ""line_total"": 4523.59}, {""sku"": ""SKU000317"", ""qty"": 1, ""unit_price"": 2210.0, ""line_total"": 2210.0}]",6733.59,placed,2025-11-11T05:53:38.834822
ORD000011,344,"[{""sku"": ""SKU000261"", ""qty"": 2, ""unit_price"": 580.8, ""line_total"": 1161.6}]",1161.6,delivered,2025-11-07T10:05:38.835249
ORD000012,429,"[{""sku"": ""SKU000268"", ""qty"": 1, ""unit_price"": 2186.61, ""line_total"": 2186.61}, {""sku"": ""SKU000006"", ""qty"": 1, ""unit_price"": 3607.56, ""line_total"": 3607.56}, {""sku"": ""SKU000757"", ""qty"": 3, ""unit_price"": 1140.0, ""line_total"": 3420.0}]",9214.17,shipped,2025-11-20T13:53:38.835782
ORD000013,293,"[{""sku"": ""SKU000313"", ""qty"": 3, ""unit_price"": 3557.64, ""line_total"": 10672.92}, {""sku"": ""SKU000834"", ""qty"": 3, ""unit_price"": 1510.0, ""line_total"": 4530.0}]",15202.92,delivered,2025-12-03T18:49:38.836268
ORD000014,171,"[{""sku"": ""SKU000684"", ""qty"": 3, ""unit_price"": 2000.0, ""line_total"": 6000.0}, {""sku"": ""SKU000308"", ""qty"": 3, ""unit_price"": 3441.02, ""line_total"": 10323.06}]",16323.06,shipped,2025-11-21T15:42:38.836761
ORD000015,153,"[{""sku"": ""SKU000475"", ""qty"": 2, ""unit_price"": 1230.0, ""line_total"": 2460.0}, {""sku"": ""SKU000716"", ""qty"": 3, ""unit_price"": 1230.0, ""line_total"": 3690.0}]",6150.0,delivered,2025-11-21T12:45:38.837255
ORD000016,200,"[{""sku"": ""SKU000749"", ""qty"": 2, ""unit_price"": 2480.0, ""line_total"": 4960.0}]",4960.0,delivered,2025-12-05T13:04:38.837679
ORD000017,315,"[{""sku"": ""SKU000712"", ""qty"": 3, ""unit_price"": 730.0, ""line_total"": 2190.0}]",2190.0,delivered,2025-11-22T10:40:38.838089
ORD000018,306,"[{""sku"": ""SKU000789"", ""qty"": 2, ""unit_price"": 820.0, ""line_total"": 1640.0}, {""sku"": ""SKU000582"", ""qty"": 1, ""unit_price"": 2390.0, ""line_total"": 2390.0}]",4030.0,shipped,2025-11-25T00:55:38.838550
ORD000019,448,"[{""sku"": ""SKU000123"", ""qty"": 1, ""unit_price"": 2866.23, ""line_total"": 2866.23}, {""sku"": ""SKU000864"", ""qty"": 1, ""unit_price"": 2280.0, ""line_total"": 2280.0}]",5146.23,delivered,2025-11-18T22:34:38.839027
ORD000020,351,"[{""sku"": ""SKU000605"", ""qty"": 3, ""unit_price"": 1440.0, ""line_total"": 4320.0}, {""sku"": ""SKU000529"", ""qty"": 1, ""unit_price"": 1650.0, ""line_total"": 1650.0}, {""sku"": ""SKU000308"", ""qty"": 1, ""unit_price"": 3441.02, ""line_total"": 3441.02}, {""sku"": ""SKU000508"", ""qty"": 2, ""unit_price"": 2730.0, ""line_total"": 5460.0}]",14871.02,cancelled,2025-11-29T16:53:38.839607
ORD000021,369,"[{""sku"": ""SKU000319"", ""qty"": 2, ""unit_price"": 1570.0, ""line_total"": 3140.0}]",3140.0,placed,2025-11-24T23:08:38.840033
ORD000022,344,"[{""sku"": ""SKU000693"", ""qty"": 1, ""unit_price"": 1260.0, ""line_total"": 1260.0}, {""sku"": ""SKU000655"", ""qty"": 3, ""unit_price"": 1130.0, ""line_total"": 3390.0}, {""sku"": ""SKU000611"", ""qty"": 3, ""unit_price"": 1100.0, ""line_total"": 3300.0}, {""sku"": ""SKU000115"", ""qty"": 2, ""unit_price"": 4418.47, ""line_total"": 8836.94}]",16786.94,shipped,2025-11-22T03:05:38.840608
ORD000023,318,"[{""sku"": ""SKU000223"", ""qty"": 1, ""unit_price"": 595.52, ""line_total"": 595.52}, {""sku"": ""SKU000068"", ""qty"": 2, ""unit_price"": 4394.26, ""line_total"": 8788.52}]",9384.04,delivered,2025-12-07T04:17:38.841096
ORD000024,203,"[{""sku"": ""SKU000487"", ""qty"": 2, ""unit_price"": 1150.0, ""line_total"": 2300.0}, {""sku"": ""SKU000564"", ""qty"": 2, ""unit_price"": 850.0, ""line_total"": 1700.0}, {""sku"": ""SKU000844"", ""qty"": 2, ""unit_price"": 1340.0, ""line_total"": 2680.0}, {""sku"": ""SKU000027"", ""qty"": 3, ""unit_price"": 1270.73, ""line_total"": 3812.19}]",10492.19,delivered,2025-11-13T11:30:38.841668
ORD000025,204,"[{""sku"": ""SKU000141"", ""qty"": 1, ""unit_price"": 2592.59, ""line_total"": 2592.59}, {""sku"": ""SKU000011"", ""qty"": 1, ""unit_price"": 1616.24, ""line_total"": 1616.24}, {""sku"": ""SKU000356"", ""qty"": 1, ""unit_price"": 740.0, ""line_total"": 740.0}, {""sku"": ""SKU000296"", ""qty"": 3, ""unit_price"": 2955.71, ""line_total"": 8867.130000000001}]",13815.96,shipped,2025-11-19T13:53:38.842261
ORD000026,308,"[{""sku"": ""SKU000523"", ""qty"": 1, ""unit_price"": 1520.0, ""line_total"": 1520.0}]",1520.0,delivered,2025-11-30T22:00:38.842684
ORD000027,284,"[{""sku"": ""SKU000527"", ""qty"": 2, ""unit_price"": 1390.0, ""line_total"": 2780.0}, {""sku"": ""SKU000818"", ""qty"": 2, ""unit_price"": 1600.0, ""line_total"": 3200.0}, {""sku"": ""SKU000769"", ""qty"": 1, ""unit_price"": 1910.0, ""line_total"": 1910.0}]",7890.0,delivered,2025-11-18T04:48:38.843267
ORD000028,363,"[{""sku"": ""SKU000727"", ""qty"": 2, ""unit_price"": 1300.0, ""line_total"": 2600.0}, {""sku"": ""SKU000798"", ""qty"": 3, ""unit_price"": 1020.0, ""line_total"": 3060.0}, {""sku"": ""SKU000787"", ""qty"": 1, ""unit_price"": 1490.0, ""line_total"": 1490.0}, {""sku"": ""SKU000557"", ""qty"": 1, ""unit_price"": 1810.0, ""line_total"": 1810.0}]",8960.0,delivered,2025-11-24T16:26:38.843857
