sku,gender,category,sub_category,article_type,base_colour,season,year,usage,product_display_name,attributes,image_url,price,msrp,currency,review_count,ratings,brand
SKU000001,Unisex,Accessories,Bags,Backpacks,Navy Blue,Fall,2010.0,Casual,Deck Navy Blue Backpack,"{'material': 'Polyester', 'sizes': 'Free Size'}",product_images/product1.jpg,2487,3380,INR,921,4.1,Puma
SKU000002,Unisex,Accessories,Bags,Backpacks,Black,Fall,2010.0,Sports,Big Cat Backpack Black,"{'material': 'Cotton', 'sizes': 'Free Size'}",product_images/product2.jpg,2028,3074,INR,280,3.8,Puma
SKU000003,Men,Apparel,Topwear,Jackets,Black,Fall,2010.0,Sports,Men Ferrari Black Fleece Jacket,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product3.jpg,2873,3436,INR,773,3.7,Puma
SKU000004,Men,Apparel,Topwear,Jackets,Red,Fall,2010.0,Sports,Men Ferrari Track Jacket,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product4.jpg,3536,3865,INR,322,3.7,Puma
SKU000005,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Men Grey Solid Round Neck T-Shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product5.jpg,1796,2442,INR,854,3.7,Puma
SKU000006,Men,Apparel,Topwear,Tshirts,Grey,Fall,2010.0,Casual,Men Grey Leaping Cat T-shirt,"{'material': 'Cotton Blend', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product6.jpg,1985,2641,INR,357,4.4,Puma
SKU000007,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Casual,Men Cat Red T-shirt,"{'material': 'Cotton Blend', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product7.jpg,2936,3459,INR,479,4.2,Puma
SKU000008,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Casual,Men Black Leaping Cat T-shirt,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product8.jpg,2148,2479,INR,1191,3.8,Puma
SKU000009,Unisex,Accessories,Headwear,Caps,Black,Fall,2010.0,Sports,Unisex Logo Cap,"{'material': 'Polyester', 'sizes': 'Free Size'}",product_images/product9.jpg,3907,4563,INR,163,3.8,Puma
SKU000010,Men,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Men Black Net Jersey,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product10.jpg,1707,2649,INR,959,4.2,Puma
SKU000011,Men,Apparel,Topwear,Tshirts,Red,Fall,2010.0,Sports,Men Red Net Jersey,"{'material': 'Cotton', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product11.jpg,1236,2229,INR,854,4.5,Puma
SKU000012,Men,Apparel,Topwear,Tshirts,Blue,Fall,2010.0,Casual,Men Ferrari Track Black T-shirt,"{'material': 'Polyester', 'sizes': 'S, M, L, XL, XXL, XXXL'}",product_images/product12.jpg,1994,2578,INR,113,3.8,Puma
